Trait1	Trait2	RatioModified1	RatioModified2	OverlapProteins	OverlapProteoforms	Difference
CholesterolLDL	InflammatoryBowelDiseases	0.366102	0.301471	5	6	1
CholesterolLDL	LeukocyteCount	0.366102	0.117647	5	6	1
CholesterolLDL	LewyBodyDisease	0.366102	0.5	1	2	1
CholesterolLDL	Lipids	0.366102	0.303571	16	20	4
CholesterolLDL	Lipoproteins	0.366102	0.727273	16	23	7
CholesterolLDL	LipoproteinsVLDL	0.366102	0.196429	13	15	2
CholesterolLDL	LiverCirrhosisBiliary	0.366102	0.216667	3	4	1
CholesterolLDL	Longevity	0.366102	0.26087	5	7	2
CholesterolLDL	LungNeoplasms	0.366102	0.302326	4	5	1
CholesterolLDL	LungVolumeMeasurements	0.366102	0.219178	8	9	1
CholesterolLDL	MacularDegeneration	0.366102	0.454545	12	31	19
CholesterolLDL	MentalCompetency	0.366102	0.214286	2	3	1
CholesterolLDL	MetabolicSyndromeX	0.366102	0.342857	6	9	3
CholesterolLDL	Metabolism	0.366102	0.375839	31	37	6
CholesterolLDL	Microbiota	0.366102	0.333333	1	4	3
CholesterolLDL	Mortality	0.366102	0.23913	10	15	5
CholesterolLDL	MuscleSkeletal	0.366102	0.333333	1	2	1
CholesterolLDL	MyastheniaGravis	0.366102	0.2	2	3	1
CholesterolLDL	MyocardialInfarction	0.366102	0.418182	8	10	2
CholesterolLDL	Neoplasms	0.366102	0.207547	9	13	4
CholesterolLDL	Neuroimaging	0.366102	0.4	2	3	1
CholesterolLDL	OpticDisk	0.366102	0.446809	1	12	11
CholesterolLDL	Otitis	0.366102	0.24	16	27	11
CholesterolLDL	OvarianNeoplasms	0.366102	0.480769	2	14	12
CholesterolLDL	Phospholipids	0.366102	0.047619	4	5	1
CholesterolLDL	PlateletFunctionTests	0.366102	0.321212	23	87	64
CholesterolLDL	ProstaticNeoplasms	0.366102	0.295082	6	10	4
CholesterolLDL	ReceptorsTumorNecrosisFactorTypeII	0.366102	0.857143	3	38	35
CholesterolLDL	Schizophrenia	0.366102	0.396783	6	7	1
CholesterolLDL	Sleep	0.366102	0.125	2	3	1
CholesterolLDL	Smoking	0.366102	0.258824	8	10	2
CholesterolLDL	Stroke	0.366102	0.178571	13	18	5
CholesterolLDL	TakotsuboCardiomyopathy	0.366102	0.5	1	2	1
CholesterolLDL	TetralogyofFallot	0.366102	0.5	1	2	1
CholesterolLDL	Triglycerides	0.366102	0.279279	25	30	5
CholesterolLDL	Trypanosomacruzi	0.366102	0.690141	2	38	36
CholesterolLDL	UricAcid	0.366102	0.325581	7	15	8
CholesterolLDL	VaccinePotency	0.366102	0.49375	6	41	35
CholesterolLDL	VascularCalcification	0.366102	0.232558	7	10	3
CholesterolLDL	VascularEndothelialGrowthFactors	0.366102	0.25	1	2	1
CholesterolLDL	WetMacularDegeneration	0.366102	0.453125	6	18	12
CholesterolLDL	WilmsTumor	0.366102	0.2	1	2	1
CholesterolLDL	oxidizedlowdensitylipoprotein	0.366102	0.75	1	4	3
CholesterolLDL	tauProteins	0.366102	0.642857	1	2	1
Cisplatin	Autoantibodies	0.5	0.4	1	2	1
Cisplatin	Cisplatin	0.5	0.5	1	2	1
Cisplatin	DeafnessAminoglycoside_Induced	0.5	0.5	1	2	1
Cisplatin	DiabetesMellitusType2	0.5	0.149425	1	2	1
CleftLip	AlzheimerDisease	0.40625	0.246154	3	4	1
CleftLip	ArterialPressure	0.40625	0.176471	2	4	2
CleftLip	BloodPressure	0.40625	0.289116	2	4	2
CleftLip	BodyFatDistribution	0.40625	0.294118	1	6	5
CleftLip	BodyHeight	0.40625	0.339093	2	3	1
CleftLip	BodyMassIndex	0.40625	0.365989	4	5	1
CleftLip	BoneDensity	0.40625	0.231405	1	2	1
CleftLip	Chin	0.40625	0.0833333	2	3	1
CleftLip	CholesterolLDL	0.40625	0.366102	5	17	12
CleftLip	CircadianRhythm	0.40625	0.0857143	1	2	1
CleftLip	CleftLip	0.40625	0.40625	35	64	29
CleftLip	CleftPalate	0.40625	0.419355	33	62	29
CleftLip	Dehydroepiandrosterone	0.40625	0.814815	1	12	11
CleftLip	DiabetesMellitusType2	0.40625	0.149425	3	8	5
CleftLip	Electrocardiography	0.40625	0.3	3	4	1
CleftLip	Emphysema	0.40625	0.166667	1	2	1
CleftLip	Eyebrows	0.40625	0.171429	2	3	1
CleftLip	GRNproteinhuman	0.40625	0.375	9	14	5
CleftLip	Hip	0.40625	0.439114	3	5	2
CleftLip	HirschsprungDisease	0.40625	0.2	1	2	1
CleftLip	Hypothyroidism	0.40625	0.192308	2	3	1
CleftLip	Insulin	0.40625	0.0882353	1	2	1
CleftLip	Lipids	0.40625	0.303571	1	3	2
CleftLip	LungVolumeMeasurements	0.40625	0.219178	2	3	1
CleftLip	MacularDegeneration	0.40625	0.454545	1	12	11
CleftLip	MouthAbnormalities	0.40625	0.3125	10	16	6
CleftLip	Obesity	0.40625	0.176471	2	7	5
CleftLip	OpticDisk	0.40625	0.446809	1	12	11
CleftLip	Otitis	0.40625	0.24	2	13	11
CleftLip	PlateletCount	0.40625	0.150943	2	4	2
CleftLip	PlateletFunctionTests	0.40625	0.321212	2	13	11
CleftLip	PolychlorinatedBiphenyls	0.40625	0.357143	1	6	5
CleftLip	RespiratoryFunctionTests	0.40625	0.179487	1	2	1
CleftLip	Smoking	0.40625	0.258824	2	3	1
CleftLip	Survival	0.40625	0.238095	1	2	1
CleftLip	ThyroidNeoplasms	0.40625	0.444444	1	2	1
CleftLip	Thyrotropin	0.40625	0.125	1	2	1
CleftLip	WaistCircumference	0.40625	0.571429	2	3	1
CleftLip	WetMacularDegeneration	0.40625	0.453125	1	12	11
CleftPalate	AlzheimerDisease	0.419355	0.246154	3	4	1
CleftPalate	ArterialPressure	0.419355	0.176471	2	4	2
CleftPalate	BloodPressure	0.419355	0.289116	2	4	2
CleftPalate	BodyFatDistribution	0.419355	0.294118	1	6	5
CleftPalate	BodyHeight	0.419355	0.339093	2	3	1
CleftPalate	BodyMassIndex	0.419355	0.365989	4	5	1
CleftPalate	BoneDensity	0.419355	0.231405	1	2	1
CleftPalate	Chin	0.419355	0.0833333	2	3	1
CleftPalate	CholesterolLDL	0.419355	0.366102	5	17	12
CleftPalate	CircadianRhythm	0.419355	0.0857143	1	2	1
CleftPalate	CleftLip	0.419355	0.40625	33	62	29
CleftPalate	CleftPalate	0.419355	0.419355	33	62	29
CleftPalate	Dehydroepiandrosterone	0.419355	0.814815	1	12	11
CleftPalate	DiabetesMellitusType2	0.419355	0.149425	2	7	5
CleftPalate	Electrocardiography	0.419355	0.3	3	4	1
CleftPalate	Emphysema	0.419355	0.166667	1	2	1
CleftPalate	Eyebrows	0.419355	0.171429	2	3	1
CleftPalate	GRNproteinhuman	0.419355	0.375	8	13	5
CleftPalate	Hip	0.419355	0.439114	3	5	2
CleftPalate	HirschsprungDisease	0.419355	0.2	1	2	1
CleftPalate	Hypothyroidism	0.419355	0.192308	2	3	1
CleftPalate	Insulin	0.419355	0.0882353	1	2	1
CleftPalate	Lipids	0.419355	0.303571	1	3	2
CleftPalate	LungVolumeMeasurements	0.419355	0.219178	2	3	1
CleftPalate	MacularDegeneration	0.419355	0.454545	1	12	11
CleftPalate	MouthAbnormalities	0.419355	0.3125	10	16	6
CleftPalate	Obesity	0.419355	0.176471	2	7	5
CleftPalate	OpticDisk	0.419355	0.446809	1	12	11
CleftPalate	Otitis	0.419355	0.24	2	13	11
CleftPalate	PlateletCount	0.419355	0.150943	1	3	2
CleftPalate	PlateletFunctionTests	0.419355	0.321212	2	13	11
CleftPalate	PolychlorinatedBiphenyls	0.419355	0.357143	1	6	5
CleftPalate	RespiratoryFunctionTests	0.419355	0.179487	1	2	1
CleftPalate	Smoking	0.419355	0.258824	2	3	1
CleftPalate	Survival	0.419355	0.238095	1	2	1
CleftPalate	ThyroidNeoplasms	0.419355	0.444444	1	2	1
CleftPalate	Thyrotropin	0.419355	0.125	1	2	1
CleftPalate	WaistCircumference	0.419355	0.571429	2	3	1
CleftPalate	WetMacularDegeneration	0.419355	0.453125	1	12	11
Clusterin	AlzheimerDisease	0.5	0.246154	1	2	1
Clusterin	Bilirubin	0.5	0.142857	1	2	1
Clusterin	C_ReactiveProtein	0.5	0.11194	1	2	1
Clusterin	Clusterin	0.5	0.5	1	2	1
Clusterin	Longevity	0.5	0.26087	1	2	1
Coffee	Coffee	0.307692	0.307692	10	13	3
Coffee	Lipids	0.307692	0.303571	2	5	3
Coffee	Lipoproteins	0.307692	0.727273	1	4	3
Coffee	MetabolicSyndromeX	0.307692	0.342857	2	5	3
Coffee	Metabolism	0.307692	0.375839	3	6	3
Coffee	Triglycerides	0.307692	0.279279	2	5	3
Coffee	gamma_Glutamyltransferase	0.307692	0.153846	2	5	3
Cognition	AgeofOnset	0.375	0.297297	1	2	1
Cognition	AlzheimerDisease	0.375	0.246154	2	3	1
Cognition	Autoantibodies	0.375	0.4	1	2	1
Cognition	BloodPressure	0.375	0.289116	1	3	2
Cognition	Cognition	0.375	0.375	5	8	3
Cognition	DiabetesMellitusType1	0.375	0.264706	1	2	1
Cognition	Hypothyroidism	0.375	0.192308	1	2	1
Cognition	Insulin_LikeGrowthFactorBindingProtein3	0.375	0.444444	1	2	1
Cognition	ParkinsonDisease	0.375	0.276596	1	3	2
Cognition	PolycysticOvarySyndrome	0.375	0.366667	1	2	1
Cognition	Psoriasis	0.375	0.222222	1	2	1
ColitisUlcerative	AbdominalFat	0.298507	0.2	1	2	1
ColitisUlcerative	AdenocarcinomaOfEsophagus	0.298507	0.1875	1	2	1
ColitisUlcerative	Adiponectin	0.298507	0.111111	1	2	1
ColitisUlcerative	AlzheimerDisease	0.298507	0.246154	16	17	1
ColitisUlcerative	Anthropometry	0.298507	0.2	1	2	1
ColitisUlcerative	AntidepressiveAgents	0.298507	0.392857	1	2	1
ColitisUlcerative	ArthritisJuvenile	0.298507	0.444444	23	36	13
ColitisUlcerative	ArthritisRheumatoid	0.298507	0.208633	25	33	8
ColitisUlcerative	Asthma	0.298507	0.229885	6	14	8
ColitisUlcerative	AtrialFibrillation	0.298507	0.229167	2	4	2
ColitisUlcerative	AudiometryPure_Tone	0.298507	0.318182	1	3	2
ColitisUlcerative	Autoantibodies	0.298507	0.4	6	12	6
ColitisUlcerative	AutoimmuneDiseases	0.298507	0.346939	23	39	16
ColitisUlcerative	BarrettEsophagus	0.298507	0.166667	1	2	1
ColitisUlcerative	BehcetSyndrome	0.298507	0.0909091	3	6	3
ColitisUlcerative	BloodPressure	0.298507	0.289116	5	7	2
ColitisUlcerative	BodyMassIndex	0.298507	0.365989	8	15	7
ColitisUlcerative	BodyWeightsandMeasures	0.298507	0.272727	1	2	1
ColitisUlcerative	BoneDensity	0.298507	0.231405	1	4	3
ColitisUlcerative	BreastNeoplasms	0.298507	0.298319	22	26	4
ColitisUlcerative	C_ReactiveProtein	0.298507	0.11194	2	3	1
ColitisUlcerative	CarcinomaHepatocellular	0.298507	0.0740741	15	17	2
ColitisUlcerative	CarcinomaSquamousCell	0.298507	0.258065	2	3	1
ColitisUlcerative	CeliacDisease	0.298507	0.3125	25	43	18
ColitisUlcerative	CerebrospinalFluid	0.298507	0.351648	2	3	1
ColitisUlcerative	ChemokineCCL2	0.298507	0.111111	1	2	1
ColitisUlcerative	Chin	0.298507	0.0833333	1	2	1
ColitisUlcerative	CholangitisSclerosing	0.298507	0.40625	5	7	2
ColitisUlcerative	Cholesterol	0.298507	0.231527	6	9	3
ColitisUlcerative	CholesterolHDL	0.298507	0.253472	4	7	3
ColitisUlcerative	ColitisUlcerative	0.298507	0.298507	136	201	65
ColitisUlcerative	CommonVariableImmunodeficiency	0.298507	0.382353	21	34	13
ColitisUlcerative	ComplementC4	0.298507	0.307692	2	6	4
ColitisUlcerative	CornealTopography	0.298507	0.632353	1	5	4
ColitisUlcerative	CoronaryArteryDisease	0.298507	0.5	2	7	5
ColitisUlcerative	CoronaryDisease	0.298507	0.338983	3	10	7
ColitisUlcerative	Creatinine	0.298507	0.324675	1	2	1
ColitisUlcerative	CrohnDisease	0.298507	0.254826	72	112	40
ColitisUlcerative	Cryoglobulinemia	0.298507	0.210526	15	19	4
ColitisUlcerative	DementiaVascular	0.298507	0.75	1	4	3
ColitisUlcerative	DepressiveDisorder	0.298507	0.152778	2	3	1
ColitisUlcerative	DermatitisAtopic	0.298507	0.110092	21	28	7
ColitisUlcerative	DiabetesMellitus	0.298507	0.244444	1	3	2
ColitisUlcerative	DiabetesMellitusType1	0.298507	0.264706	45	68	23
ColitisUlcerative	DiabetesMellitusType2	0.298507	0.149425	2	3	1
ColitisUlcerative	Education	0.298507	0.317881	3	4	1
ColitisUlcerative	Electrocardiography	0.298507	0.3	4	6	2
ColitisUlcerative	EsophagealNeoplasms	0.298507	0.230769	1	2	1
ColitisUlcerative	GlomerularFiltrationRate	0.298507	0.288889	2	3	1
ColitisUlcerative	GlomerulonephritisIGA	0.298507	0.09375	16	17	1
ColitisUlcerative	Glucose	0.298507	0.244898	1	3	2
ColitisUlcerative	HeartFailure	0.298507	0.209302	1	3	2
ColitisUlcerative	HelicobacterInfections	0.298507	0.333333	1	2	1
ColitisUlcerative	Hematocrit	0.298507	0.317073	1	3	2
ColitisUlcerative	HepatitisBChronic	0.298507	0.151515	3	7	4
ColitisUlcerative	HepatitisCChronic	0.298507	0.208333	15	19	4
ColitisUlcerative	Hypersensitivity	0.298507	0.309524	3	7	4
ColitisUlcerative	Hypothyroidism	0.298507	0.192308	3	4	1
ColitisUlcerative	IL1RL1proteinhuman	0.298507	0.125	3	4	1
ColitisUlcerative	Immunoglobulins	0.298507	0.333333	1	5	4
ColitisUlcerative	InflammatoryBowelDiseases	0.298507	0.301471	96	149	53
ColitisUlcerative	JointInstability	0.298507	0.571429	1	5	4
ColitisUlcerative	LiverCirrhosisBiliary	0.298507	0.216667	25	35	10
ColitisUlcerative	LungVolumeMeasurements	0.298507	0.219178	3	7	4
ColitisUlcerative	LupusErythematosusSystemic	0.298507	0.255605	50	75	25
ColitisUlcerative	MacularDegeneration	0.298507	0.454545	4	9	5
ColitisUlcerative	Menarche	0.298507	0.189394	3	8	5
ColitisUlcerative	Menstruation	0.298507	0.857143	1	7	6
ColitisUlcerative	MentalCompetency	0.298507	0.214286	1	3	2
ColitisUlcerative	Mortality	0.298507	0.23913	2	4	2
ColitisUlcerative	MucocutaneousLymphNodeSyndrome	0.298507	0.294118	1	2	1
ColitisUlcerative	MultipleSclerosis	0.298507	0.114286	21	27	6
ColitisUlcerative	MyeloproliferativeDisorders	0.298507	0.714286	1	6	5
ColitisUlcerative	MyocardialInfarction	0.298507	0.418182	1	5	4
ColitisUlcerative	Neoplasms	0.298507	0.207547	1	3	2
ColitisUlcerative	PancreaticCarcinoma	0.298507	0.2	1	4	3
ColitisUlcerative	PancreaticNeoplasms	0.298507	0	1	4	3
ColitisUlcerative	Peroxidases	0.298507	0.4	1	5	4
ColitisUlcerative	PlateletFunctionTests	0.298507	0.321212	9	13	4
ColitisUlcerative	Prostate_SpecificAntigen	0.298507	0.230769	1	2	1
ColitisUlcerative	ProstaticNeoplasms	0.298507	0.295082	2	6	4
ColitisUlcerative	Proteins	0.298507	0.122449	16	17	1
ColitisUlcerative	Psoriasis	0.298507	0.222222	29	52	23
ColitisUlcerative	RenalInsufficiencyChronic	0.298507	0.125	1	2	1
ColitisUlcerative	RhinitisAllergicSeasonal	0.298507	0.285714	2	6	4
ColitisUlcerative	Schizophrenia	0.298507	0.396783	17	24	7
ColitisUlcerative	SclerodermaSystemic	0.298507	0.205882	18	24	6
ColitisUlcerative	SerotoninUptakeInhibitors	0.298507	0.0909091	1	2	1
ColitisUlcerative	SexCharacteristics	0.298507	0	1	2	1
ColitisUlcerative	SpondylitisAnkylosing	0.298507	0.295455	23	36	13
ColitisUlcerative	Stroke	0.298507	0.178571	3	5	2
ColitisUlcerative	ThyroidDiseases	0.298507	0.333333	22	35	13
ColitisUlcerative	ThyroidNeoplasms	0.298507	0.444444	1	5	4
ColitisUlcerative	Thyrotropin	0.298507	0.125	1	2	1
ColitisUlcerative	Tonsillectomy	0.298507	0.128571	4	6	2
ColitisUlcerative	Triglycerides	0.298507	0.279279	4	11	7
ColitisUlcerative	UricAcid	0.298507	0.325581	2	3	1
ColitisUlcerative	Urine	0.298507	0.125	1	3	2
ColitisUlcerative	UveomeningoencephaliticSyndrome	0.298507	0.0625	15	16	1
ColitisUlcerative	VascularEndothelialGrowthFactors	0.298507	0.25	1	2	1
ColitisUlcerative	Vitiligo	0.298507	0.0862069	2	3	1
ColitisUlcerative	WaistCircumference	0.298507	0.571429	3	8	5
ColitisUlcerative	Waist_HipRatio	0.298507	0.166667	2	3	1
ColitisUlcerative	WetMacularDegeneration	0.298507	0.453125	1	2	1
ColitisUlcerative	blood	0.298507	0.166667	1	2	1
ColorectalNeoplasms	Adenocarcinomaoflung	0.296296	0.323529	13	28	15
ColorectalNeoplasms	Alopecia	0.296296	0.210526	1	2	1
ColorectalNeoplasms	Antibodies	0.296296	0.0526316	1	2	1
ColorectalNeoplasms	AntineoplasticAgents	0.296296	0.105263	1	2	1
ColorectalNeoplasms	ArthritisRheumatoid	0.296296	0.208633	3	4	1
ColorectalNeoplasms	AtrialFibrillation	0.296296	0.229167	1	2	1
ColorectalNeoplasms	AttentionDeficitDisorderwithHyperactivity	0.296296	0.272727	1	2	1
ColorectalNeoplasms	Autoantibodies	0.296296	0.4	2	3	1
ColorectalNeoplasms	BipolarDisorder	0.296296	0.313253	1	2	1
ColorectalNeoplasms	BloodPressure	0.296296	0.289116	6	7	1
ColorectalNeoplasms	BodyMassIndex	0.296296	0.365989	5	8	3
ColorectalNeoplasms	BodyWeightsandMeasures	0.296296	0.272727	1	2	1
ColorectalNeoplasms	BoneDensity	0.296296	0.231405	2	4	2
ColorectalNeoplasms	BreastNeoplasms	0.296296	0.298319	13	29	16
ColorectalNeoplasms	CarcinomaEndometrioid	0.296296	0.424242	12	27	15
ColorectalNeoplasms	CarcinomaNon_Small_CellLung	0.296296	0.3	12	27	15
ColorectalNeoplasms	CarcinomaSquamousCell	0.296296	0.258065	1	2	1
ColorectalNeoplasms	Cetuximab	0.296296	0.5	1	2	1
ColorectalNeoplasms	ChildDevelopmentDisordersPervasive	0.296296	0.166667	1	2	1
ColorectalNeoplasms	CholangitisSclerosing	0.296296	0.40625	2	3	1
ColorectalNeoplasms	Cholesterol	0.296296	0.231527	1	2	1
ColorectalNeoplasms	CholesterolHDL	0.296296	0.253472	2	3	1
ColorectalNeoplasms	CholesterolLDL	0.296296	0.366102	1	2	1
ColorectalNeoplasms	ClinicalLaboratoryTechniques	0.296296	0.2	1	2	1
ColorectalNeoplasms	ColorectalNeoplasms	0.296296	0.296296	53	81	28
ColorectalNeoplasms	CoronaryDisease	0.296296	0.338983	2	3	1
ColorectalNeoplasms	Creatinine	0.296296	0.324675	2	3	1
ColorectalNeoplasms	DeathSuddenCardiac	0.296296	0.142857	1	2	1
ColorectalNeoplasms	DeglutitionDisorders	0.296296	0.538462	1	13	12
ColorectalNeoplasms	DepressiveDisorder	0.296296	0.152778	2	3	1
ColorectalNeoplasms	DiabetesMellitus	0.296296	0.244444	1	2	1
ColorectalNeoplasms	DiabetesMellitusType2	0.296296	0.149425	2	3	1
ColorectalNeoplasms	Disease_FreeSurvival	0.296296	0.142857	1	2	1
ColorectalNeoplasms	Electrocardiography	0.296296	0.3	5	7	2
ColorectalNeoplasms	Endometriosis	0.296296	0.333333	1	3	2
ColorectalNeoplasms	ExerciseTest	0.296296	0.153846	1	3	2
ColorectalNeoplasms	Glucose	0.296296	0.244898	1	2	1
ColorectalNeoplasms	GlucoseToleranceTest	0.296296	0.166667	1	2	1
ColorectalNeoplasms	HIV_1	0.296296	0.0512821	1	2	1
ColorectalNeoplasms	HeartFailure	0.296296	0.209302	1	2	1
ColorectalNeoplasms	HeartFunctionTests	0.296296	0.142857	1	2	1
ColorectalNeoplasms	Hematocrit	0.296296	0.317073	1	2	1
ColorectalNeoplasms	Hip	0.296296	0.439114	4	7	3
ColorectalNeoplasms	HodgkinDisease	0.296296	0.108108	1	2	1
ColorectalNeoplasms	Hypertriglyceridemia	0.296296	0.214286	1	2	1
ColorectalNeoplasms	Insulin	0.296296	0.0882353	1	2	1
ColorectalNeoplasms	LungNeoplasms	0.296296	0.302326	13	28	15
ColorectalNeoplasms	Magnesium	0.296296	0.347826	2	14	12
ColorectalNeoplasms	Melanoma	0.296296	0.285714	3	6	3
ColorectalNeoplasms	Mortality	0.296296	0.23913	1	2	1
ColorectalNeoplasms	Myopia	0.296296	0.52381	1	2	1
ColorectalNeoplasms	Neoplasms	0.296296	0.207547	2	4	2
ColorectalNeoplasms	Neuroticism	0.296296	0.185185	1	2	1
ColorectalNeoplasms	OvarianNeoplasms	0.296296	0.480769	13	30	17
ColorectalNeoplasms	PeripheralNervousSystemDiseases	0.296296	0.166667	1	2	1
ColorectalNeoplasms	PlateletFunctionTests	0.296296	0.321212	5	6	1
ColorectalNeoplasms	PrecursorB_CellLymphoblasticLeukemia_Lymphoma	0.296296	0.142857	1	2	1
ColorectalNeoplasms	PrecursorCellLymphoblasticLeukemia_Lymphoma	0.296296	0.307692	1	2	1
ColorectalNeoplasms	Prostate_SpecificAntigen	0.296296	0.230769	2	14	12
ColorectalNeoplasms	ProstaticNeoplasms	0.296296	0.295082	13	28	15
ColorectalNeoplasms	ReverseTranscriptaseInhibitors	0.296296	0.103448	1	2	1
ColorectalNeoplasms	Schizophrenia	0.296296	0.396783	2	3	1
ColorectalNeoplasms	Stroke	0.296296	0.178571	1	2	1
ColorectalNeoplasms	Survival	0.296296	0.238095	3	4	1
ColorectalNeoplasms	Triglycerides	0.296296	0.279279	1	2	1
ColorectalNeoplasms	Trypanosomacruzi	0.296296	0.690141	1	2	1
ColorectalNeoplasms	WaistCircumference	0.296296	0.571429	3	4	1
ColorectalNeoplasms	hemoglobinA1cproteinhuman	0.296296	0.0526316	1	2	1
CommonVariableImmunodeficiency	ArthritisJuvenile	0.382353	0.444444	21	34	13
CommonVariableImmunodeficiency	Asthma	0.382353	0.229885	1	5	4
CommonVariableImmunodeficiency	AutoimmuneDiseases	0.382353	0.346939	21	34	13
CommonVariableImmunodeficiency	BehcetSyndrome	0.382353	0.0909091	1	2	1
CommonVariableImmunodeficiency	BodyMassIndex	0.382353	0.365989	1	5	4
CommonVariableImmunodeficiency	CeliacDisease	0.382353	0.3125	21	34	13
CommonVariableImmunodeficiency	ChemokineCCL2	0.382353	0.111111	1	2	1
CommonVariableImmunodeficiency	ColitisUlcerative	0.382353	0.298507	21	34	13
CommonVariableImmunodeficiency	CommonVariableImmunodeficiency	0.382353	0.382353	21	34	13
CommonVariableImmunodeficiency	CornealTopography	0.382353	0.632353	1	5	4
CommonVariableImmunodeficiency	CoronaryArteryDisease	0.382353	0.5	1	5	4
CommonVariableImmunodeficiency	CoronaryDisease	0.382353	0.338983	1	5	4
CommonVariableImmunodeficiency	CrohnDisease	0.382353	0.254826	21	34	13
CommonVariableImmunodeficiency	DiabetesMellitusType1	0.382353	0.264706	21	34	13
CommonVariableImmunodeficiency	GlomerulonephritisIGA	0.382353	0.09375	1	2	1
CommonVariableImmunodeficiency	Hypersensitivity	0.382353	0.309524	2	6	4
CommonVariableImmunodeficiency	InflammatoryBowelDiseases	0.382353	0.301471	15	26	11
CommonVariableImmunodeficiency	LungVolumeMeasurements	0.382353	0.219178	1	5	4
CommonVariableImmunodeficiency	LupusErythematosusSystemic	0.382353	0.255605	21	34	13
CommonVariableImmunodeficiency	Menarche	0.382353	0.189394	1	2	1
CommonVariableImmunodeficiency	MyeloproliferativeDisorders	0.382353	0.714286	1	6	5
CommonVariableImmunodeficiency	MyocardialInfarction	0.382353	0.418182	1	5	4
CommonVariableImmunodeficiency	Psoriasis	0.382353	0.222222	21	34	13
CommonVariableImmunodeficiency	RhinitisAllergicSeasonal	0.382353	0.285714	1	5	4
CommonVariableImmunodeficiency	SpondylitisAnkylosing	0.382353	0.295455	21	34	13
CommonVariableImmunodeficiency	ThyroidDiseases	0.382353	0.333333	21	34	13
CommonVariableImmunodeficiency	ThyroidNeoplasms	0.382353	0.444444	1	5	4
CommonVariableImmunodeficiency	UveomeningoencephaliticSyndrome	0.382353	0.0625	1	2	1
CommonVariableImmunodeficiency	WaistCircumference	0.382353	0.571429	1	5	4
ComplementC3	ComplementC3	0.6	0.6	2	5	3
ComplementC3	MacularDegeneration	0.6	0.454545	2	5	3
ComplementC3	WetMacularDegeneration	0.6	0.453125	2	5	3
ComplementC4	Asthma	0.307692	0.229885	2	6	4
ComplementC4	BreastNeoplasms	0.307692	0.298319	6	10	4
ComplementC4	CeliacDisease	0.307692	0.3125	1	5	4
ComplementC4	ColitisUlcerative	0.307692	0.298507	2	6	4
ComplementC4	ComplementC4	0.307692	0.307692	9	13	4
ComplementC4	CrohnDisease	0.307692	0.254826	2	6	4
ComplementC4	Cryoglobulinemia	0.307692	0.210526	1	5	4
ComplementC4	DiabetesMellitusType1	0.307692	0.264706	8	12	4
ComplementC4	HepatitisBChronic	0.307692	0.151515	3	7	4
ComplementC4	HepatitisCChronic	0.307692	0.208333	1	5	4
ComplementC4	JointInstability	0.307692	0.571429	1	5	4
ComplementC4	LupusErythematosusSystemic	0.307692	0.255605	6	10	4
ComplementC4	MacularDegeneration	0.307692	0.454545	2	6	4
ComplementC4	Peroxidases	0.307692	0.4	1	5	4
ComplementC4	ProstaticNeoplasms	0.307692	0.295082	1	5	4
ComplementC4	Psoriasis	0.307692	0.222222	4	8	4
ComplementC4	Schizophrenia	0.307692	0.396783	2	6	4
ComplementC4	SclerodermaSystemic	0.307692	0.205882	1	5	4
ComplementC4	Triglycerides	0.307692	0.279279	1	5	4
Copper	CholesterolHDL	0.5	0.253472	1	2	1
Copper	Copper	0.5	0.5	1	2	1
CornealPachymetry	CornealPachymetry	0.576923	0.576923	11	26	15
CornealPachymetry	CornealTopography	0.576923	0.632353	5	20	15
CornealPachymetry	DupuytrenContracture	0.576923	0.5	1	3	2
CornealPachymetry	PlateletFunctionTests	0.576923	0.321212	2	15	13
CornealTopography	ArthritisJuvenile	0.632353	0.444444	1	5	4
CornealTopography	Asthma	0.632353	0.229885	1	5	4
CornealTopography	Astigmatism	0.632353	0.5	1	2	1
CornealTopography	AutoimmuneDiseases	0.632353	0.346939	1	5	4
CornealTopography	BodyHeight	0.632353	0.339093	2	3	1
CornealTopography	BodyMassIndex	0.632353	0.365989	2	17	15
CornealTopography	CeliacDisease	0.632353	0.3125	1	5	4
CornealTopography	ColitisUlcerative	0.632353	0.298507	1	5	4
CornealTopography	CommonVariableImmunodeficiency	0.632353	0.382353	1	5	4
CornealTopography	CornealPachymetry	0.632353	0.576923	5	20	15
CornealTopography	CornealTopography	0.632353	0.632353	21	68	47
CornealTopography	CoronaryArteryDisease	0.632353	0.5	1	5	4
CornealTopography	CoronaryDisease	0.632353	0.338983	1	5	4
CornealTopography	CrohnDisease	0.632353	0.254826	1	5	4
CornealTopography	DiabetesMellitusType1	0.632353	0.264706	1	5	4
CornealTopography	DupuytrenContracture	0.632353	0.5	1	3	2
CornealTopography	ErythrocyteCount	0.632353	0.27907	1	2	1
CornealTopography	ErythrocyteIndices	0.632353	0.252427	1	2	1
CornealTopography	HeartRate	0.632353	0.272727	1	12	11
CornealTopography	Hematocrit	0.632353	0.317073	1	2	1
CornealTopography	Hemoglobins	0.632353	0.35	1	2	1
CornealTopography	HerniaInguinal	0.632353	0.25	1	2	1
CornealTopography	Hypersensitivity	0.632353	0.309524	1	5	4
CornealTopography	InflammatoryBowelDiseases	0.632353	0.301471	1	5	4
CornealTopography	LungVolumeMeasurements	0.632353	0.219178	2	6	4
